,user-confirmed,admin-confirmed,days_to_full_moon,avg_visibility,avg_hourly_cloud_cover_8,DOY,MEAX,MEAY,MEAZ
mean,2.4,0.26,3.967741935483872,5.345176960444136,4.148,6.133665421336654,0.030783970640529876,0.010451495627784775,0.09731587413473214
std,1.8844151368961313,0.44308749769345207,1.8596625598139238,1.321346779341035,1.9795113806498938,2.699375440991475,0.010124241923574544,0.006638906155845046,0.046551156086320364
min,1.0,0.0,1.2903225806451613,0.8535739070090215,0.1,0.821917808219178,0.01431260021739025,0.003711145160168406,0.010612457176000754
max,10.0,1.0,8.709677419354838,7.2588480222068,7.3,9.726027397260275,0.0621093653447247,0.03618914680942332,0.16652663089199515
